 Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Discovery Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,Mass Category,Period Category,Distance Category,Radius Category,Star Temp Category,IS Habbitable
Gamma Cephei Ab,1.850,1.166,903.300,2.050,1442.00,Radial Velocity,1988,44.160,1.400,4744,Proper name Tadmor,Giant,Long,Nearby,Medium,Sun-like,0
PSR B1257+12 c,0.014,1.166,66.542,0.360,1442.00,Timing,1992,2000.000,1.400,5601,Proper name Poltergeist,Small,Short,Far,Medium,Sun-like,0
PSR B1257+12 d,0.012,0.130,98.211,0.460,1442.00,Timing,1992,2000.000,1.400,5601,Proper name Phobetor,Small,Short,Far,Small,Sun-like,0
PSR B1620-26 b,2.500,1.166,232.300,23.000,1442.00,Timing,1993,12400.000,1.350,5601,Informally named Methuselah. Oldest exoplanet known,Giant,Long,Far,Medium,Sun-like,0
PSR B1257+12 b,6.300,1.166,25.262,0.190,1442.00,Timing,1994,2000.000,1.400,5601,Proper name Draugr. Least massive exoplanet known.,Giant,Short,Far,Medium,Sun-like,0
51 Pegasi b,0.460,1.166,4.231,0.053,1442.00,Radial Velocity,1995,50.450,1.120,5793,Proper name Dimidium; previously informally named Bellerophon. First exoplanet discovered orbiting a main sequence star.,Medium,Ultra Short,Nearby,Medium,Sun-like,0
16 Cygni Bb,2.380,1.166,799.500,1.660,1442.00,Radial Velocity,1996,68.990,1.040,5750,None,Giant,Long,Nearby,Medium,Sun-like,0
47 Ursae Majoris b,2.530,1.166,1078.000,2.100,1442.00,Radial Velocity,1996,45.020,1.080,5892,Proper name Taphao Thong,Giant,Long,Nearby,Medium,Sun-like,0
55 Cancri b,0.831,1.166,14.652,0.115,700.00,Radial Velocity,1996,41.060,0.905,5196,Proper name Galileo,Medium,Short,Nearby,Medium,Sun-like,0
70 Virginis b,7.490,1.166,116.688,0.481,1442.00,Radial Velocity,1996,58.420,1.090,5495,None,Giant,Long,Nearby,Medium,Sun-like,0
Tau Boötis b,5.950,1.166,3.312,0.049,1442.00,Radial Velocity,1996,51.070,1.340,6400,None,Giant,Ultra Short,Nearby,Medium,Hot,0
Upsilon Andromedae b,0.688,1.800,4.617,0.059,1442.00,Radial Velocity,1996,43.740,1.300,6183,Proper name Saffar,Medium,Ultra Short,Nearby,Large,Hot,0
Rho Coronae Borealis b,1.045,1.166,39.846,0.220,614.00,Radial Velocity,1997,57.000,0.889,5627,Controversial,Giant,Short,Nearby,Medium,Sun-like,0
Gliese 876 b,2.276,1.166,61.117,0.208,1442.00,Radial Velocity,1998,15.250,0.320,3129,None,Giant,Short,Nearby,Medium,Cool,0
HD 168443 b,7.659,1.166,58.112,0.293,1442.00,Radial Velocity,1998,129.400,0.995,5491,None,Giant,Short,Mid-Range,Medium,Sun-like,0
HD 187123 b,0.523,1.166,3.097,0.043,1442.00,Radial Velocity,1998,150.100,1.000,5830,None,Medium,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 195019 b,3.980,1.166,18.201,0.140,1442.00,Radial Velocity,1998,123.000,1.210,5751,None,Giant,Short,Mid-Range,Medium,Sun-like,0
HD 210277 b,1.290,1.166,442.190,1.130,1442.00,Radial Velocity,1998,69.510,1.010,5538,None,Giant,Long,Nearby,Medium,Sun-like,0
HD 217107 b,1.300,1.166,7.127,0.080,1442.00,Radial Velocity,1998,65.470,1.000,5622,None,Giant,Ultra Short,Nearby,Medium,Sun-like,0
109 Piscium b,6.383,1.166,1075.690,2.140,1442.00,Radial Velocity,1999,108.100,1.110,5600,None,Giant,Long,Mid-Range,Medium,Sun-like,0
23 Librae b,1.610,1.166,258.180,0.810,1442.00,Radial Velocity,1999,85.460,1.070,5736,None,Giant,Long,Nearby,Medium,Sun-like,0
Gliese 86 b,4.420,1.166,15.765,0.110,0.11,Radial Velocity,1999,35.180,0.830,5182,None,Giant,Short,Nearby,Medium,Sun-like,0
HD 130322 b,1.150,1.166,10.709,0.093,720.00,Radial Velocity,1999,104.100,0.920,5387,Proper name Eiger,Giant,Short,Mid-Range,Medium,Sun-like,0
HD 177830 b,1.690,1.166,410.100,1.140,1442.00,Radial Velocity,1999,205.100,1.700,4901,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 192263 b,0.560,1.166,24.356,0.150,486.00,Radial Velocity,1999,64.080,0.660,4976,Proper name Beirut,Medium,Short,Nearby,Medium,Sun-like,0
HD 209458 b,0.730,1.390,3.525,0.047,1459.00,Radial Velocity,1999,157.800,1.230,6091,Informally named Osiris,Medium,Ultra Short,Mid-Range,Medium,Hot,0
HD 222582 b,8.370,1.120,572.380,1.340,1442.00,Radial Velocity,1999,137.700,1.120,5790,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 75289 b,0.490,1.166,3.509,0.050,1260.00,Radial Velocity,1999,95.050,1.290,6117,None,Medium,Ultra Short,Nearby,Medium,Hot,0
HD 89744 b,8.350,1.166,256.780,0.917,1442.00,Radial Velocity,1999,126.200,1.860,6291,None,Giant,Long,Mid-Range,Medium,Hot,0
Iota Horologii b,2.270,1.166,302.800,0.920,1442.00,Radial Velocity,1999,56.510,1.250,6167,None,Giant,Long,Nearby,Medium,Hot,0
Upsilon Andromedae c,1.981,1.166,241.258,0.828,1442.00,Radial Velocity,1999,43.740,1.300,6183,Proper name Samh,Giant,Long,Nearby,Medium,Hot,0
Upsilon Andromedae d,4.132,1.020,1276.460,2.513,1442.00,Radial Velocity,1999,43.740,1.300,6183,Proper name Majriti,Giant,Long,Nearby,Medium,Hot,0
79 Ceti b,0.260,1.166,75.523,0.360,1442.00,Radial Velocity,2000,123.390,1.110,5757,None,Medium,Short,Mid-Range,Medium,Sun-like,0
BD-10 3166 b,0.590,1.166,3.488,0.040,1442.00,Radial Velocity,2000,275.970,1.470,5393,None,Medium,Ultra Short,Mid-Range,Medium,Sun-like,0
Epsilon Eridani b,1.550,1.166,2502.000,3.390,1442.00,Radial Velocity,2000,10.470,0.830,5136,Proper name Ægir,Giant,Long,Nearby,Medium,Sun-like,0
Epsilon Reticuli b,1.560,1.166,428.100,1.271,1442.00,Radial Velocity,2000,59.620,1.230,4846,None,Giant,Long,Nearby,Medium,Sun-like,0
Gliese 3021 b,3.370,1.166,133.710,0.490,350.00,Radial Velocity,2000,57.270,0.900,5540,None,Giant,Long,Nearby,Medium,Sun-like,0
Gliese 876 c,0.714,1.166,30.088,0.130,1442.00,Radial Velocity,2000,15.260,0.320,3129,None,Medium,Short,Nearby,Medium,Cool,0
HD 12661 b,2.430,1.166,262.709,0.840,1442.00,Radial Velocity,2000,123.580,1.200,5645,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 168443 c,17.193,1.166,1749.830,2.837,1442.00,Radial Velocity,2000,129.390,0.990,5491,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 169830 b,2.880,1.166,225.620,0.810,345.00,Radial Velocity,2000,122.770,1.400,6299,None,Giant,Long,Mid-Range,Medium,Hot,0
HD 179949 b,0.916,1.166,3.093,0.044,1442.00,Radial Velocity,2000,89.630,1.210,6168,Proper name Mastika,Medium,Ultra Short,Nearby,Medium,Hot,0
HD 38529 b,0.797,1.166,14.309,0.129,1442.00,Radial Velocity,2000,138.330,1.410,5541,None,Medium,Short,Mid-Range,Medium,Sun-like,0
HD 38529 c,12.990,1.166,2136.100,3.640,1442.00,Radial Velocity,2000,138.330,1.410,5541,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 46375 b,0.226,1.166,3.024,0.040,1442.00,Radial Velocity,2000,96.480,0.920,5285,None,Medium,Ultra Short,Nearby,Medium,Sun-like,0
HD 52265 b,1.210,1.166,119.270,0.520,405.00,Radial Velocity,2000,97.880,1.200,6136,Proper name Cayahuanca,Giant,Long,Nearby,Medium,Hot,0
HD 92788 b,3.760,1.166,325.803,0.970,1442.00,Radial Velocity,2000,113.150,1.150,5744,None,Giant,Long,Mid-Range,Medium,Sun-like,0
Mu Arae b,1.676,1.166,643.250,1.497,1442.00,Radial Velocity,2000,50.910,1.080,5786,Proper name Quijote,Giant,Long,Nearby,Medium,Sun-like,0
47 Ursae Majoris c,0.540,1.166,2391.000,3.600,1442.00,Radial Velocity,2001,45.010,1.030,5892,Proper name Taphao Kaew,Medium,Long,Nearby,Medium,Sun-like,0
HD 114783 b,1.100,1.166,493.700,1.160,1442.00,Radial Velocity,2001,66.540,0.850,5135,None,Giant,Long,Nearby,Medium,Sun-like,0
HD 142 b,1.250,1.166,349.700,1.020,1442.00,Radial Velocity,2001,85.490,1.230,6245,None,Giant,Long,Nearby,Medium,Hot,0
HD 178911 Bb,8.030,1.166,71.484,0.340,1442.00,Radial Velocity,2001,133.790,1.240,5588,None,Giant,Short,Mid-Range,Medium,Sun-like,0
HD 213240 b,5.580,1.166,882.700,1.890,1442.00,Radial Velocity,2001,133.470,1.570,5979,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 23079 b,2.610,1.166,730.600,1.600,1442.00,Radial Velocity,2001,109.230,1.120,5974,Proper name Guarani,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 28185 b,5.900,1.166,379.000,1.020,1442.00,Radial Velocity,2001,128.610,1.020,5662,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 4203 b,2.230,1.166,431.880,1.170,1442.00,Radial Velocity,2001,266.050,1.250,5596,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 4208 b,0.810,1.166,832.970,1.662,1442.00,Radial Velocity,2001,111.650,0.880,5717,Proper name Xolotlan,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 68988 b,1.970,1.166,6.277,0.070,1442.00,Radial Velocity,2001,198.800,1.280,5932,Proper name Albmi,Giant,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 80606 b,4.380,1.070,111.437,0.457,405.00,Radial Velocity,2001,217.230,1.150,5561,None,Giant,Long,Mid-Range,Medium,Sun-like,0
Pi Mensae b,10.020,1.166,2093.070,3.100,1442.00,Radial Velocity,2001,59.620,1.090,6037,None,Giant,Long,Nearby,Medium,Hot,0
14 Herculis b,4.660,1.166,1773.400,2.930,1442.00,Radial Velocity,2002,58.510,0.900,5338,Another suspected planet confirmed in 2021.,Giant,Long,Nearby,Medium,Sun-like,0
55 Cancri d,3.878,1.166,4825.000,5.503,1442.00,Radial Velocity,2002,41.060,0.910,5196,Proper name Lipperhey,Giant,Long,Nearby,Medium,Sun-like,0
HD 106252 b,30.600,1.166,1531.000,2.610,1442.00,Radial Velocity,2002,124.690,1.050,5890,Brown dwarf,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 108147 b,0.261,1.166,10.899,0.102,890.00,Radial Velocity,2002,127.070,1.270,6265,Proper name Tumearandu,Medium,Short,Mid-Range,Medium,Hot,0
HD 108874 b,1.420,1.166,394.481,1.040,1442.00,Radial Velocity,2002,194.460,1.100,5600,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 114729 b,0.825,1.166,1121.790,2.067,1442.00,Radial Velocity,2002,123.450,0.940,5844,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 12661 c,1.812,1.166,1708.000,2.815,1442.00,Radial Velocity,2002,123.580,1.200,5645,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 128311 b,1.769,1.166,453.019,1.084,1442.00,Radial Velocity,2002,53.880,0.830,4863,None,Giant,Long,Nearby,Medium,Sun-like,0
HD 141937 b,9.690,1.166,653.220,1.500,1442.00,Radial Velocity,2002,108.910,1.090,5870,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 162020 b,9.840,1.166,8.428,0.080,1442.00,Radial Velocity,2002,100.620,0.420,4723,None,Giant,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 168746 b,0.270,1.166,6.404,0.070,900.00,Radial Velocity,2002,135.750,1.070,5570,Proper name Onasilos,Medium,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 196050 b,3.180,1.166,1378.000,2.510,1442.00,Radial Velocity,2002,165.530,1.310,5879,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 2039 b,6.290,1.166,1120.000,2.200,1442.00,Radial Velocity,2002,280.180,1.230,5945,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 30177 b,8.622,1.166,2527.830,3.704,1442.00,Radial Velocity,2002,181.610,1.050,5607,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 37124 b,0.675,1.166,154.378,0.534,1442.00,Radial Velocity,2002,103.360,0.850,5492,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 37124 c,0.652,1.166,885.500,1.710,1442.00,Radial Velocity,2002,103.360,0.850,5492,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 40979 b,4.670,1.166,264.150,0.850,1442.00,Radial Velocity,2002,111.290,1.450,6165,None,Giant,Long,Mid-Range,Medium,Hot,0
HD 47536 b,7.320,1.166,712.130,1.930,1442.00,Radial Velocity,2002,401.020,0.910,4424,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 49674 b,0.100,1.166,4.947,0.060,1442.00,Radial Velocity,2002,140.550,1.030,5602,Proper name Eburonia,Medium,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 50554 b,4.954,1.166,1293.000,2.353,1442.00,Radial Velocity,2002,101.730,1.040,5987,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 72659 b,3.850,1.166,3658.000,4.750,1442.00,Radial Velocity,2002,169.510,1.430,5932,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 73526 b,3.080,1.166,188.300,0.650,1442.00,Radial Velocity,2002,318.050,1.140,5601,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 76700 b,0.210,1.166,3.971,0.050,1442.00,Radial Velocity,2002,198.930,0.990,5644,None,Medium,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 83443 b,0.340,1.166,2.986,0.040,1442.00,Radial Velocity,2002,133.570,0.790,5442,Proper name Buru,Medium,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 8574 b,2.030,1.166,227.000,0.760,1442.00,Radial Velocity,2002,146.380,1.340,6064,Proper name Bélisama,Giant,Long,Mid-Range,Medium,Hot,0
Iota Draconis b,8.820,1.166,511.098,1.275,1442.00,Radial Velocity,2002,103.300,1.050,4530,Proper name Hypatia,Giant,Long,Mid-Range,Medium,Sun-like,0
OGLE-TR-56b,1.390,1.363,1.212,0.024,2212.00,Transit,2002,922.530,1.170,6050,First planet discovered via transit,Giant,Ultra Short,Far,Medium,Hot,0
Rho Indi b,2.223,1.166,1334.280,2.497,1442.00,Radial Velocity,2002,87.120,1.170,5909,None,Giant,Long,Nearby,Medium,Sun-like,0
Tau1 Gruis b,1.260,1.166,1311.000,2.560,1442.00,Radial Velocity,2002,107.670,1.300,5999,None,Giant,Long,Mid-Range,Medium,Sun-like,0
54 Piscium b,0.228,1.166,62.250,0.295,1442.00,Radial Velocity,2003,36.340,0.800,5221,None,Medium,Short,Nearby,Medium,Sun-like,0
91 Aquarii b,3.200,1.166,181.400,0.700,1442.00,Radial Velocity,2003,148.500,1.400,4665,None,Giant,Long,Mid-Range,Medium,Sun-like,0
94 Ceti b,1.370,1.166,466.200,1.305,1442.00,Radial Velocity,2003,73.520,1.360,6188,None,Giant,Long,Nearby,Medium,Hot,0
Gliese 777 b,1.540,1.166,2915.037,3.970,1442.00,Radial Velocity,2003,52.220,0.990,5552,None,Giant,Long,Nearby,Medium,Sun-like,0
HD 104985 b,8.300,1.166,199.505,0.950,1442.00,Radial Velocity,2003,328.970,2.300,4877,Proper name Meztli,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 111232 b,7.140,1.166,1143.000,1.970,1442.00,Radial Velocity,2003,94.520,0.840,5512,None,Giant,Long,Nearby,Medium,Sun-like,0
HD 114386 b,1.140,1.166,937.700,1.730,1442.00,Radial Velocity,2003,91.160,0.600,4836,None,Giant,Long,Nearby,Medium,Sun-like,0
HD 121504 b,1.510,1.166,63.330,0.330,1442.00,Radial Velocity,2003,136.040,1.620,6027,None,Giant,Short,Mid-Range,Medium,Hot,0
HD 142415 b,1.670,1.166,386.300,1.060,1442.00,Radial Velocity,2003,116.020,1.070,5940,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 147513 b,1.210,1.166,528.400,1.320,1442.00,Radial Velocity,2003,42.110,1.110,5883,None,Giant,Long,Nearby,Medium,Sun-like,0
HD 169830 c,4.040,1.166,2102.000,3.600,1442.00,Radial Velocity,2003,122.770,1.400,6299,None,Giant,Long,Mid-Range,Medium,Hot,0
HD 216770 b,0.570,1.166,118.450,0.460,1442.00,Radial Velocity,2003,119.700,0.740,5399,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 23596 b,9.030,1.166,1561.000,2.770,1442.00,Radial Velocity,2003,169.870,1.470,6040,None,Giant,Long,Mid-Range,Medium,Hot,0
HD 41004 Bb,18.370,1.166,1.328,1442.000,1442.00,Radial Velocity,2003,140.350,0.400,5601,None,Giant,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 59686 b,6.920,1.166,299.360,1.086,1442.00,Radial Velocity,2003,292.000,1.430,4670,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 6434 b,0.490,1.166,21.998,0.140,1442.00,Radial Velocity,2003,138.330,1.100,5769,Proper name Eyeke,Medium,Short,Mid-Range,Medium,Sun-like,0
HD 65216 b,1.295,1.166,577.600,1.301,1442.00,Radial Velocity,2003,114.680,0.870,5612,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 70642 b,1.993,1.166,2124.540,3.318,1442.00,Radial Velocity,2003,95.570,1.080,5732,None,Giant,Long,Nearby,Medium,Sun-like,0
HD 74156 b,1.800,1.166,51.645,0.292,1442.00,Radial Velocity,2003,210.700,1.240,6068,None,Giant,Short,Mid-Range,Medium,Hot,0
HD 74156 c,8.060,1.166,2473.000,3.850,1442.00,Radial Velocity,2003,210.700,1.240,6068,None,Giant,Long,Mid-Range,Medium,Hot,0
HD 82943 b,1.681,1.166,441.470,1.183,1442.00,Radial Velocity,2003,90.050,1.200,6016,None,Giant,Long,Nearby,Medium,Hot,0
HD 82943 c,1.959,1.166,220.078,0.743,1442.00,Radial Velocity,2003,90.050,1.200,6016,None,Giant,Long,Nearby,Medium,Hot,0
Tau Geminorum b,20.600,1.166,305.500,1.170,1442.00,Radial Velocity,2003,301.700,2.300,4388,None,Giant,Long,Mid-Range,Medium,Sun-like,0
2M1207b,4.000,1.166,232.300,46.000,1150.00,Imaging,2004,210.120,0.020,5601,The first exoplanet discovered around a brown dwarf,Giant,Long,Mid-Range,Medium,Sun-like,0
55 Cancri c,0.171,1.166,44.418,0.241,1442.00,Radial Velocity,2004,41.060,0.910,5196,Proper name Brahe,Medium,Short,Nearby,Medium,Sun-like,0
55 Cancri e,0.025,0.170,0.737,0.015,1958.00,Radial Velocity,2004,41.060,0.910,5196,Proper name Janssen,Small,Ultra Short,Nearby,Small,Sun-like,0
83 Leonis Bb,0.070,1.166,17.043,0.120,1442.00,Radial Velocity,2004,59.400,0.480,4815,None,Small,Short,Nearby,Medium,Sun-like,0
DH Tauri b,11.000,2.700,232.300,330.000,2200.00,Imaging,2004,456.630,0.330,3751,None,Giant,Long,Mid-Range,Large,Cool,0
Gliese 436 b,0.070,0.372,2.644,0.029,686.00,Radial Velocity,2004,31.830,0.470,3479,None,Small,Ultra Short,Nearby,Small,Cool,0
GQ Lupi b,20.000,3.000,232.300,100.000,2650.00,Imaging,2004,495.190,0.700,4092,None,Giant,Long,Mid-Range,Large,Sun-like,0
HD 117207 b,1.926,1.166,2621.750,3.787,1442.00,Radial Velocity,2004,105.610,1.050,5732,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 117618 b,0.174,1.166,25.800,0.180,1442.00,Radial Velocity,2004,123.360,1.080,5990,Proper name Noifasui,Medium,Short,Mid-Range,Medium,Sun-like,0
HD 154857 b,2.450,1.166,408.600,1.290,1442.00,Radial Velocity,2004,207.310,1.960,5589,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 183263 b,3.950,1.166,626.516,1.490,1442.00,Radial Velocity,2004,177.040,1.310,5948,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 188015 b,1.500,1.166,461.200,1.203,1442.00,Radial Velocity,2004,165.500,1.090,5746,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 202206 c,17.900,1.166,1260.000,2.410,1442.00,Radial Velocity,2004,150.130,1.270,5760,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 208487 b,0.520,1.166,130.080,0.524,1442.00,Radial Velocity,2004,143.510,1.130,6067,Proper name Mintome,Medium,Long,Mid-Range,Medium,Hot,0
HD 330075 b,0.480,1.166,3.388,0.040,990.00,Radial Velocity,2004,147.950,0.470,5000,None,Medium,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 37605 b,2.690,1.166,55.013,0.277,1442.00,Radial Velocity,2004,152.810,0.940,5329,None,Giant,Short,Mid-Range,Medium,Sun-like,0
HD 41004 Ab,2.540,1.166,963.000,1442.000,1442.00,Radial Velocity,2004,140.350,0.700,5010,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 45350 b,1.790,1.166,963.600,1.920,1442.00,Radial Velocity,2004,153.100,1.020,5616,Proper name Peitruss,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 88133 b,1.020,1.166,3.415,0.048,1442.00,Radial Velocity,2004,240.610,1.260,5392,None,Giant,Ultra Short,Mid-Range,Medium,Sun-like,0
Mu Arae c,0.033,1.166,9.639,0.091,900.00,Radial Velocity,2004,50.910,1.080,5786,Proper name Dulcinea. Designated Mu Arae d by the Exoplanet Archive.,Small,Ultra Short,Nearby,Medium,Sun-like,0
Mu Arae e,1.814,1.166,4205.800,5.235,1442.00,Radial Velocity,2004,50.910,1.080,5786,Proper name Sancho. Designated Mu Arae c by the Exoplanet Archive.,Giant,Long,Nearby,Medium,Sun-like,0
OGLE-2003-BLG-235Lb,2.600,1.166,232.300,4.300,1442.00,Microlensing,2004,19000.000,0.630,5601,None,Giant,Long,Far,Medium,Sun-like,0
OGLE-TR-10b,0.620,1.250,3.101,0.043,1702.00,Transit,2004,4521.000,1.140,5950,None,Medium,Ultra Short,Far,Medium,Sun-like,0
OGLE-TR-111b,0.550,1.019,4.014,0.047,1019.00,Transit,2004,3578.000,0.850,5040,None,Medium,Ultra Short,Far,Medium,Sun-like,0
OGLE-TR-113b,1.260,1.093,1.432,0.023,1342.00,Transit,2004,1957.000,0.780,4790,None,Giant,Ultra Short,Far,Medium,Sun-like,0
OGLE-TR-132b,1.180,1.200,1.690,0.030,2013.00,Transit,2004,8154.000,1.300,6210,None,Giant,Ultra Short,Far,Medium,Hot,0
TrES-1b,0.840,1.130,3.030,0.039,1140.00,Transit,2004,523.140,1.040,5230,None,Medium,Ultra Short,Far,Medium,Sun-like,0
14 Herculis c,5.800,1.166,25000.000,16.400,1442.00,Radial Velocity,2005,58.520,0.900,5518,Suspected since 2005,Giant,Long,Nearby,Medium,Sun-like,0
AB Pictoris b,13.500,1.166,232.300,260.000,1442.00,Imaging,2005,163.470,0.900,5378,None,Giant,Long,Mid-Range,Medium,Sun-like,0
Eta2 Hydri b,6.540,1.166,711.000,1.930,1442.00,Radial Velocity,2005,221.960,1.910,4970,None,Giant,Long,Mid-Range,Medium,Sun-like,0
Gliese 581 b,0.050,1.166,5.369,0.041,1442.00,Radial Velocity,2005,20.550,0.310,3660,None,Small,Ultra Short,Nearby,Medium,Cool,0
Gliese 777 c,0.060,1.166,17.111,0.130,1442.00,Radial Velocity,2005,52.220,0.990,5552,None,Small,Short,Nearby,Medium,Sun-like,0
Gliese 876 d,0.021,1.166,1.938,0.021,1442.00,Radial Velocity,2005,15.260,0.320,3129,None,Small,Ultra Short,Nearby,Medium,Cool,0
HD 101930 b,0.250,1.166,70.460,0.300,1442.00,Radial Velocity,2005,98.010,0.570,5108,None,Medium,Short,Nearby,Medium,Sun-like,0
HD 102117 b,0.170,1.166,20.813,0.150,1442.00,Radial Velocity,2005,129.230,1.060,5655,Proper name Leklsullun,Medium,Short,Mid-Range,Medium,Sun-like,0
HD 107148 b,0.210,1.166,48.056,0.269,1442.00,Radial Velocity,2005,161.420,1.120,5797,None,Medium,Short,Mid-Range,Medium,Sun-like,0
HD 108874 c,0.990,1.166,1624.000,2.659,1442.00,Radial Velocity,2005,194.460,1.100,5600,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 109749 b,0.270,1.166,5.240,0.062,1442.00,Radial Velocity,2005,206.140,1.130,5824,None,Medium,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 118203 b,2.790,1.166,6.134,0.070,1442.00,Radial Velocity,2005,301.740,1.840,5864,Proper name Staburags,Giant,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 11964 b,0.622,1.166,1945.000,3.160,1442.00,Radial Velocity,2005,109.490,1.120,5349,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 128311 c,3.789,1.166,921.538,1.740,1442.00,Radial Velocity,2005,53.880,0.830,4863,None,Giant,Long,Nearby,Medium,Sun-like,0
HD 13189 b,10.950,1.166,471.600,1.250,1442.00,Radial Velocity,2005,1646.000,2.240,4175,None,Giant,Long,Far,Medium,Sun-like,0
HD 142022 Ab,4.440,1.166,1928.000,2.930,1442.00,Radial Velocity,2005,111.910,0.900,5421,None,Giant,Long,Mid-Range,Medium,Sun-like,0
HD 149026 b,0.380,0.740,2.876,0.044,1626.00,Radial Velocity,2005,247.980,1.420,6179,Proper name Smertrios,Medium,Ultra Short,Mid-Range,Medium,Hot,0
HD 149143 b,1.330,1.166,4.072,0.053,1442.00,Radial Velocity,2005,239.500,1.200,5856,Proper name Riosar,Giant,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 164922 b,0.310,1.166,1155.000,2.100,159.00,Radial Velocity,2005,71.820,0.760,5372,None,Medium,Long,Nearby,Medium,Sun-like,0
HD 189733 b,1.130,1.130,2.219,0.031,1209.00,Radial Velocity,2005,64.520,0.790,5052,None,Giant,Ultra Short,Nearby,Medium,Sun-like,0
HD 212301 b,0.510,1.166,2.246,0.030,1442.00,Radial Velocity,2005,177.170,1.550,6239,None,Medium,Ultra Short,Mid-Range,Medium,Hot,0
HD 217107 c,2.600,1.166,4270.000,5.320,1442.00,Radial Velocity,2005,65.460,1.000,5622,None,Giant,Long,Nearby,Medium,Sun-like,0
HD 2638 b,0.420,1.166,3.444,0.040,1442.00,Radial Velocity,2005,179.550,0.770,5186,None,Medium,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 27894 b,0.665,1.166,18.020,0.125,1442.00,Radial Velocity,2005,143.120,0.800,4894,None,Medium,Short,Mid-Range,Medium,Sun-like,0
HD 33564 b,9.100,1.166,388.000,1.100,1442.00,Radial Velocity,2005,68.400,1.250,6250,None,Giant,Long,Nearby,Medium,Hot,0
HD 37124 d,0.696,1.166,1862.000,2.807,1442.00,Radial Velocity,2005,103.360,0.850,5492,None,Medium,Long,Mid-Range,Medium,Sun-like,0
HD 4308 b,0.050,1.166,15.560,0.120,1442.00,Radial Velocity,2005,71.850,0.930,5686,None,Small,Short,Nearby,Medium,Sun-like,0
HD 50499 b,1.636,1.166,2447.100,3.833,1442.00,Radial Velocity,2005,151.180,1.250,6102,None,Giant,Long,Mid-Range,Medium,Hot,0
HD 63454 b,0.250,1.098,2.818,0.040,1442.00,Radial Velocity,2005,123.060,0.420,4812,Proper name Ibirapitá,Medium,Ultra Short,Mid-Range,Medium,Sun-like,0
HD 66428 b,3.204,1.166,2263.120,3.467,1442.00,Radial Velocity,2005,174.040,1.080,5773,None,Giant,Long,Mid-Range,Medium,Sun-like,0
